Date,Open,High,Low,Close,Volume,Market Cap,EOD_Return
2018-03-17,"8,321.91","8,346.53","7,812.82","7,916.88","4,426,149,888","133,993,486,925",-0.05055
2018-03-18,"7,890.52","8,245.51","7,397.99","8,223.68","6,639,190,016","139,201,713,268",0.03875
2018-03-19,"8,344.12","8,675.87","8,182.40","8,630.65","6,729,110,016","146,107,514,353",0.04949
2018-03-20,"8,619.67","9,051.02","8,389.89","8,913.47","6,361,789,952","150,909,503,835",0.03277
2018-03-21,"8,937.48","9,177.37","8,846.33","8,929.28","6,043,129,856","151,193,917,440",0.00177
2018-03-22,"8,939.44","9,100.71","8,564.90","8,728.47","5,530,390,016","147,809,220,250",-0.02249
2018-03-23,"8,736.25","8,879.62","8,360.62","8,879.62","5,954,120,192","150,383,574,951",0.01732
2018-03-24,"8,901.95","8,996.18","8,665.70","8,668.12","5,664,600,064","146,818,882,936",-0.02382
2018-03-25,"8,612.81","8,682.01","8,449.10","8,495.78","4,569,880,064","143,914,265,310",-0.01988
2018-03-26,"8,498.47","8,530.08","7,921.43","8,209.40","5,921,039,872","139,078,211,968",-0.03371
2018-03-27,"8,200.00","8,232.78","7,797.28","7,833.04","5,378,250,240","132,717,053,150",-0.04585
2018-03-28,"7,836.83","8,122.89","7,809.17","7,954.48","4,935,289,856","134,788,265,876",0.0155
2018-03-29,"7,979.07","7,994.33","7,081.38","7,165.70","6,361,229,824","121,436,043,045",-0.09916
2018-03-30,"7,171.45","7,276.66","6,683.93","6,890.52","6,289,509,888","116,786,562,165",-0.0384
2018-03-31,"6,892.48","7,207.85","6,863.52","6,973.53","4,553,269,760","118,204,645,927",0.01205
